shelterId,itemId,count
949,273,3486
246,866,594
552,496,401
51,213,236
946,3,617
310,463,734
899,272,3171
163,240,1645
776,665,2581
107,569,2358
361,567,1282
304,275,4103
689,262,185
748,98,670
195,503,1641
590,568,3672
271,764,1026
766,928,90
376,861,4149
919,141,3678
896,333,678
691,28,4400
851,963,4463
908,225,665
247,887,3061
659,190,2729
284,225,1977
881,5,4302
941,687,338
127,213,3236
150,327,4563
372,621,823
81,280,4169
560,725,3842
999,457,4971
666,659,1589
488,557,1527
324,515,4693
243,904,275
437,819,1419
131,859,4953
773,441,4951
57,589,3035
453,629,2887
204,691,1984
215,856,4014
758,580,4657
393,276,4375
799,606,1096
619,414,3448
135,520,2772
623,292,2217
497,271,87
757,381,2851
291,627,2529
647,205,2304
968,528,2416
559,485,3759
456,929,2065
449,153,1414
487,733,2955
832,818,858
886,447,2650
884,766,3176
79,779,1139
223,859,2771
686,865,1911
287,45,1311
255,127,413
394,633,1823
29,127,3215
48,652,630
832,66,429
288,804,2062
18,530,3699
996,772,2320
519,2,3949
152,261,1260
942,599,4222
444,757,3589
655,732,2156
929,936,2905
602,408,4395
485,295,3701
520,620,3560
832,223,3897
233,742,900
398,113,737
76,678,2707
535,747,1195
435,319,550
657,101,2927
946,262,1243
799,336,4351
516,601,3569
966,442,4576
504,823,2656
851,876,2552
314,258,3792
559,18,3415
694,391,1584
75,696,4407
673,708,4784
685,84,3502
104,191,3351
6,474,4523
681,170,2343
399,787,1447
58,609,2215
519,373,3384
158,737,4518
731,516,3283
643,647,1503
531,264,101
679,744,587
144,532,62
746,705,1660
161,342,4824
915,413,4631
767,963,969
600,330,4281
237,6,4302
969,502,765
638,514,2789
488,909,696
255,147,434
169,579,4166
532,397,2599
527,505,2168
871,783,877
334,694,4099
995,818,2338
66,444,2560
738,514,2026
775,65,1643
765,546,1236
559,409,835
920,39,990
405,231,4560
752,211,859
206,767,2029
587,200,4984
934,896,3166
104,129,3929
548,41,4107
432,276,2437
343,561,3977
919,199,84
257,488,1707
446,731,2890
473,173,3325
817,918,228
701,232,1617
889,838,2096
939,62,4527
541,654,60
146,262,3910
164,985,2243
849,666,1130
812,861,2160
368,713,4127
248,704,1466
215,29,4761
917,955,4046
555,218,1925
418,459,4834
980,970,4610
779,562,1234
729,822,1574
769,931,3529
534,405,973
475,382,3321
28,101,3631
195,14,1698
99,555,2662
134,600,1284
889,799,1805
66,236,3708
869,903,2355
210,713,2339
917,524,3079
426,117,4210
723,272,2772
116,941,3554
401,300,2440
47,647,268
408,897,2131
354,485,2417
303,796,3611
806,272,131
832,202,3311
201,70,101
750,569,4298
634,303,804
743,221,422
244,356,4199
964,534,4702
307,73,477
117,361,3618
451,936,4864
497,215,424
812,220,3885
363,777,3542
570,148,4082
817,456,633
682,250,4863
188,322,2766
174,132,3234
270,917,3483
661,934,4565
722,27,920
282,587,3591
967,773,1543
3,990,1139
583,531,1593
661,540,4710
565,881,3876
519,214,4496
733,518,4994
435,401,229
996,270,705
260,998,4400
811,37,4987
49,56,4815
948,162,1283
115,291,1067
96,178,2352
86,870,595
278,678,240
144,148,1478
414,41,1381
496,906,1861
187,127,3197
348,712,1291
329,376,3751
319,247,4344
901,877,2193
493,377,4451
654,27,4334
682,669,3184
348,927,616
199,554,2779
792,350,1495
325,268,147
892,167,2188
613,791,3752
426,197,3465
577,671,3924
330,943,3761
317,21,2020
702,218,799
842,18,2445
587,976,515
949,576,4361
888,724,33
174,421,1242
506,719,69
470,607,4416
323,288,442
621,626,4503
590,260,3297
526,735,2078
627,146,2999
295,35,4047
342,611,2436
209,752,1333
827,395,4271
743,726,395
175,527,3437
306,804,581
244,272,343
420,393,337
529,609,4980
861,623,4471
384,55,3437
351,139,204
577,685,1510
745,882,4732
751,41,2352
511,489,4823
893,789,2325
106,763,2086
37,211,341
914,425,3637
516,887,4283
312,621,2221
188,142,3570
804,254,618
780,913,1243
352,362,4826
918,738,47
275,326,1442
606,989,4942
654,669,3927
602,452,1262
967,440,593
574,877,2065
127,661,1207
773,113,239
309,302,281
356,766,3028
804,385,1527
375,560,3954
520,524,2129
776,413,3675
462,393,3987
621,936,4774
393,476,538
892,120,3204
792,959,4035
546,607,3782
953,41,4898
189,27,4231
52,195,4828
78,707,1206
590,370,2442
1000,810,360
378,15,4278
788,665,4855
212,961,3804
551,282,95
599,707,1787
609,951,4231
1,507,3606
573,985,3582
234,613,1480
844,282,3476
147,2,2138
611,581,831
757,190,1669
912,551,3220
9,280,1059
306,363,3663
456,12,1589
598,433,3545
355,741,2719
932,301,3986
403,539,684
698,5,4524
175,884,3055
875,522,163
188,72,549
633,194,4320
288,626,2280
25,619,4434
583,853,2514
533,796,769
761,533,2224
159,632,3541
681,225,4880
459,476,636
385,173,591
791,574,4242
771,4,3654
82,310,2576
4,773,3906
213,371,2510
481,361,567
596,914,3010
761,929,3882
101,486,2510
883,83,4803
202,264,1374
370,645,1695
995,630,2050
690,615,3310
432,946,984
200,974,206
535,867,934
758,743,3256
684,995,353
478,377,3179
163,115,2893
715,360,68
770,608,4933
616,878,2751
780,153,3471
976,298,1949
979,372,3301
669,499,2172
652,277,2343
92,808,746
890,218,2948
735,387,3167
389,325,2229
659,694,69
399,696,944
399,937,4668
208,741,2011
754,537,1953
457,410,4803
95,176,2846
228,346,4937
878,38,2814
381,837,4646
835,50,406
3,782,505
150,421,2106
864,498,579
977,717,4158
661,59,4659
133,701,3483
403,816,3327
141,131,4136
731,294,1604
437,970,2608
700,550,1610
532,111,2874
422,689,3854
15,83,2285
56,198,294
657,365,785
175,604,3599
263,48,4935
855,974,4580
58,597,1832
581,620,431
17,174,2844
440,924,106
420,994,2192
3,589,708
205,585,1751
665,587,1130
320,236,1493
387,164,1829
948,133,750
716,227,4458
922,262,320
494,202,3960
102,531,155
307,88,3862
850,680,2656
180,250,1121
211,300,4768
225,369,870
927,117,1142
972,187,1483
577,616,2097
528,660,3999
716,736,1698
124,44,1109
596,619,89
296,776,3366
755,237,645
276,640,2283
608,248,2604
160,442,1258
221,309,2298
495,642,4255
56,222,857
979,93,4305
708,234,4742
451,599,3381
934,146,1307
396,825,4803
369,408,1279
670,854,440
802,156,4217
546,99,2924
34,302,3730
72,484,485
122,385,4628
790,668,285
760,744,704
973,265,1608
158,85,4200
899,667,2344
983,237,2639
548,694,456
249,672,1644
192,288,4137
938,365,403
92,575,2649
626,92,833
800,46,75
726,733,3239
691,567,1031
982,139,3084
371,520,4778
131,524,298
460,698,1633
180,635,4183
282,735,2385
883,558,3902
912,62,2207
854,863,2161
673,516,3596
827,417,2916
608,874,2491
35,205,2464
396,464,3370
890,833,3874
841,946,1038
124,528,738
242,294,769
73,676,997
493,748,868
283,941,2727
119,388,2111
685,176,2332
758,932,1580
864,909,1212
100,417,1208
646,912,619
187,48,631
863,258,4371
571,759,3240
641,96,94
673,66,4389
352,40,4389
561,406,4540
358,498,2356
361,300,3453
922,715,3599
933,114,2294
927,644,2578
743,225,4854
242,448,496
497,168,867
980,997,2979
44,973,736
557,843,3008
70,169,2333
222,179,915
40,948,1225
87,301,3543
617,173,2618
198,421,2662
648,646,1995
751,330,930
776,464,583
776,124,1987
593,512,4694
489,165,2500
599,383,1948
333,856,1356
17,339,2169
797,156,2781
497,543,3006
799,588,4101
183,105,1659
804,34,86
191,813,817
389,128,4614
395,156,435
457,495,4755
565,929,1508
416,258,3712
797,628,3331
911,14,2426
303,538,2875
878,269,4832
627,901,409
616,887,3011
374,388,1372
506,431,2324
617,671,4491
242,619,4892
318,982,1714
177,241,2795
977,386,2638
441,766,4195
340,156,2988
256,802,1717
842,318,4485
