id,shelterId,individualId,orgId,amount,whenDonated,recurrence
294,477,44,,312.13,2015-08-17 16:57:22,
295,696,45,,616.26,2016-01-15 06:35:16,
296,352,46,,38.59,2016-01-08 08:13:55,
297,485,47,,316.53,2015-12-15 10:15:23,
298,563,48,,933.43,2016-03-20 07:04:42,
299,454,49,,755.25,2016-02-15 21:08:19,
300,76,50,,140.38,2015-09-11 16:23:33,
301,7,51,,618.19,2015-08-25 05:52:25,
302,412,52,,978.1,2016-03-04 22:00:56,
303,845,53,,454.57,2016-04-18 15:09:59,
304,455,54,,232.77,2015-07-05 12:33:16,
305,31,55,,859.53,2015-07-13 11:24:04,
306,419,56,,693.1,2015-12-03 19:54:15,
307,534,57,,869.15,2015-06-03 09:51:06,
308,274,58,,498.12,2016-05-09 23:34:26,
309,466,59,,436.45,2015-07-21 09:19:23,
310,478,60,,155.86,2015-08-30 01:53:03,
311,920,61,,826.4,2015-06-28 07:26:53,
312,728,62,,424.03,2015-12-25 09:59:14,
313,769,63,,453.81,2015-11-28 06:45:10,
314,206,64,,150.51,2016-05-25 17:39:22,
315,731,65,,886.4,2016-03-06 07:53:08,
316,584,66,,191.41,2015-08-20 22:57:45,
317,958,67,,202.75,2016-03-25 15:22:24,
318,106,68,,181.47,2015-09-04 06:43:13,
319,248,69,,871.31,2016-03-20 12:34:49,
320,334,70,,255.85,2015-12-06 19:29:25,
321,509,71,,717.47,2015-07-05 16:57:20,
322,185,72,,999.27,2015-09-29 11:31:48,
323,292,73,,434.83,2016-05-16 21:26:43,
324,238,74,,784.26,2015-12-21 23:56:02,
325,74,75,,420.22,2016-02-19 08:39:46,
326,679,76,,75.26,2016-02-27 19:43:14,
327,686,77,,242.72,2015-08-01 20:53:07,
328,857,78,,938.6,2015-08-04 23:44:54,
329,3,79,,132.45,2015-09-13 10:28:20,
330,580,80,,421.22,2015-07-03 09:41:25,
331,247,81,,913.58,2016-01-17 13:20:51,
332,905,82,,919.04,2015-09-23 21:39:56,
333,672,83,,216.36,2015-12-14 23:38:28,
334,56,84,,265.9,2015-06-26 00:38:37,
335,629,85,,828.41,2016-04-20 17:37:52,
336,946,86,,51.88,2015-09-30 09:23:01,
337,317,87,,43.42,2015-06-13 03:58:12,
338,684,88,,188.87,2016-04-07 04:18:07,
339,236,89,,301.83,2016-01-26 10:52:52,
340,757,90,,604.46,2016-03-25 18:24:27,
341,81,91,,563.01,2015-07-16 03:23:32,
342,265,92,,470.69,2015-07-24 07:24:04,
343,271,93,,180.73,2015-09-14 12:03:58,
344,924,94,,4.97,2015-07-06 05:57:42,
345,743,95,,318.76,2016-05-04 00:50:55,
346,15,96,,261.41,2015-06-18 02:29:33,
347,658,97,,961.29,2015-08-02 00:45:33,
348,368,98,,305.7,2016-04-28 11:57:54,
349,740,99,,847.85,2015-07-25 00:51:21,
350,453,100,,764.88,2015-10-26 11:00:17,
351,43,101,,250.96,2015-09-13 15:21:27,
352,971,102,,718.76,2015-08-27 05:18:26,
353,565,103,,655.55,2015-09-12 09:53:44,
354,135,104,,172.54,2016-03-25 08:23:34,
355,981,105,,894.16,2015-10-23 10:13:27,
356,945,106,,542.17,2015-06-24 12:26:34,
357,950,107,,770.65,2016-02-12 13:17:38,
358,304,108,,425.01,2016-04-17 14:12:07,
359,260,109,,652.4,2015-05-28 17:52:37,
360,319,110,,402.11,2015-10-10 01:09:13,
361,214,111,,894.72,2015-12-22 17:30:22,
362,369,112,,335.02,2015-06-14 02:13:03,
363,266,113,,392.49,2015-12-07 06:24:40,
364,949,114,,711.53,2015-11-22 00:21:57,
365,472,115,,685.82,2015-07-11 04:35:37,
366,37,116,,454.84,2016-05-10 08:41:42,
367,565,117,,205.1,2015-08-08 01:15:42,
368,368,118,,995.41,2015-11-09 21:25:59,
369,834,119,,679.04,2015-09-03 12:19:03,
370,455,120,,198.32,2016-02-13 12:21:53,
371,216,121,,293.93,2015-10-25 13:45:57,
372,942,122,,587.18,2015-09-01 02:41:26,
373,783,123,,461.35,2015-06-27 06:24:03,
374,899,124,,99.7,2015-12-03 09:55:29,
375,694,125,,521.71,2015-12-14 23:10:17,
376,414,126,,369.4,2015-06-19 10:55:51,
377,523,127,,171.11,2016-05-18 22:25:23,
378,803,128,,76.36,2015-12-02 22:16:22,
379,369,129,,274.84,2016-04-20 10:47:08,
380,413,130,,41.51,2015-12-22 02:12:42,
381,746,131,,496.14,2015-10-28 12:08:34,
382,194,132,,22.17,2015-11-14 14:00:35,
383,54,133,,374.93,2016-04-03 08:40:53,
384,842,134,,368.34,2015-06-24 13:01:00,
385,337,135,,728.35,2016-03-15 19:49:03,
386,393,136,,927.0,2016-01-17 07:28:10,
387,87,137,,499.61,2016-01-03 23:18:23,
388,2,138,,688.49,2016-03-11 05:28:32,
389,852,139,,469.36,2015-11-07 23:10:21,
390,772,140,,722.14,2015-10-08 22:46:16,
391,285,141,,374.53,2015-08-06 18:20:14,
392,355,142,,716.85,2015-11-04 13:52:39,
393,2,143,,486.7,2016-03-19 13:10:59,
394,993,144,,894.27,2016-01-05 19:34:48,
395,253,145,,417.99,2016-05-11 11:58:41,
396,418,146,,16.4,2015-08-24 11:11:38,
397,591,147,,244.19,2016-03-19 06:55:13,
398,620,148,,19.76,2015-06-08 03:50:32,
399,159,149,,481.72,2015-11-20 07:19:47,
400,730,150,,214.8,2016-01-03 00:36:03,
401,809,151,,393.3,2015-08-13 16:58:35,
402,77,152,,53.28,2015-06-09 00:13:24,
403,596,153,,934.01,2015-12-10 00:57:38,
404,449,154,,538.02,2015-07-31 14:37:59,
405,882,155,,342.26,2015-11-20 05:14:43,
406,445,156,,241.46,2015-11-03 17:05:04,
407,566,157,,973.31,2015-09-23 04:39:58,
408,630,158,,784.73,2016-05-05 01:17:51,
409,577,159,,768.7,2016-01-01 10:34:07,
410,69,160,,292.12,2016-02-15 11:03:39,
411,918,161,,118.45,2015-12-03 10:30:21,
412,422,162,,14.74,2016-04-15 12:41:36,
413,638,163,,589.21,2015-10-11 02:46:39,
414,805,164,,439.05,2016-02-15 06:43:53,
415,982,165,,592.75,2016-03-13 23:36:11,
416,563,166,,576.68,2015-09-06 08:05:41,
417,231,167,,180.05,2016-01-29 02:49:37,
418,457,168,,659.55,2016-05-27 09:01:59,
419,24,169,,194.49,2015-11-21 23:52:03,
420,495,170,,839.48,2016-05-16 14:38:45,
421,761,171,,952.74,2015-10-11 15:58:52,
422,725,172,,978.38,2015-08-13 09:21:03,
423,527,173,,898.8,2015-08-13 13:04:11,
424,761,174,,646.81,2016-03-18 16:36:34,
425,384,175,,364.7,2016-05-09 12:58:15,
426,533,176,,421.67,2016-01-22 05:23:04,
427,338,177,,448.92,2015-08-27 00:07:35,
428,380,178,,284.11,2015-07-14 06:22:13,
429,677,179,,973.6,2016-02-05 22:17:18,
430,527,180,,57.38,2016-03-23 03:48:43,
431,68,181,,795.26,2015-07-31 18:26:17,
432,316,182,,225.95,2016-01-01 23:28:42,
433,289,183,,359.06,2015-09-21 03:58:37,
434,717,184,,685.66,2016-02-23 11:58:24,
435,931,185,,49.99,2016-01-02 22:39:56,
436,945,186,,848.77,2015-07-17 01:43:55,
437,140,187,,695.06,2015-10-23 18:27:37,
438,65,188,,287.02,2015-11-17 22:41:06,
439,777,189,,272.53,2015-11-20 04:56:45,
440,689,190,,953.39,2015-06-03 16:30:13,
441,218,191,,566.3,2016-01-19 10:09:54,
442,626,192,,53.6,2016-01-24 01:57:15,
443,853,193,,115.21,2015-07-05 09:10:38,
444,822,194,,933.45,2016-04-01 09:36:14,
445,386,195,,785.57,2016-01-15 21:07:08,
446,536,196,,456.65,2016-02-12 02:17:37,
447,798,197,,829.12,2016-05-18 08:21:27,
448,259,198,,624.41,2015-09-03 09:35:13,
449,699,199,,768.77,2015-08-22 06:13:26,
450,942,200,,951.96,2015-08-17 07:01:23,
451,276,201,,862.74,2016-01-23 18:03:01,
452,868,202,,335.48,2016-05-07 20:40:30,
453,725,203,,841.87,2016-02-09 12:47:33,
454,480,204,,237.08,2015-12-04 10:33:15,
455,138,205,,848.85,2015-10-01 22:46:01,
456,206,206,,278.8,2016-01-20 16:13:18,
457,878,207,,557.68,2016-03-02 18:12:01,
458,814,208,,183.65,2016-03-17 02:31:26,
459,763,209,,442.27,2016-01-22 14:14:36,
460,997,210,,785.56,2016-04-30 00:25:20,
461,172,211,,892.81,2015-10-16 19:09:57,
462,675,212,,477.17,2016-04-22 05:10:52,
463,650,213,,529.93,2016-05-09 08:04:00,
464,123,214,,456.41,2015-06-27 18:57:08,
465,347,215,,646.05,2016-02-26 14:34:03,
466,794,216,,238.73,2016-02-06 23:24:12,
467,398,217,,714.44,2015-10-21 14:15:41,
468,840,218,,933.29,2015-07-01 17:00:25,
469,749,219,,947.81,2015-09-16 18:45:13,
470,370,220,,825.54,2016-03-18 09:59:28,
471,156,221,,725.53,2015-07-18 22:25:43,
472,229,222,,116.51,2015-07-25 14:02:22,
473,905,223,,616.24,2015-11-03 00:29:23,
474,113,224,,323.79,2015-05-28 14:28:32,
475,999,225,,428.42,2015-06-19 21:12:03,
476,986,226,,241.3,2016-02-06 09:18:07,
477,165,227,,800.45,2015-09-14 19:53:48,
478,185,228,,471.01,2016-02-01 07:13:35,
479,577,229,,423.35,2015-08-05 02:57:55,
480,967,230,,845.87,2016-01-08 18:39:10,
481,583,231,,473.91,2015-12-16 01:38:53,
482,833,232,,902.52,2016-02-09 12:07:26,
483,422,233,,744.69,2015-07-24 15:16:41,
484,802,234,,181.25,2016-03-14 03:26:52,
485,997,235,,977.04,2016-03-31 23:33:03,
486,782,236,,240.69,2015-10-31 23:53:55,
487,961,237,,680.04,2015-10-23 07:31:19,
488,708,238,,461.03,2016-03-25 14:56:51,
489,391,239,,815.71,2016-01-25 12:41:24,
490,730,240,,298.61,2015-12-20 15:24:18,
491,843,241,,934.33,2016-02-26 10:45:11,
492,883,242,,81.86,2016-03-05 22:07:55,
493,697,243,,41.32,2016-01-16 15:55:00,
494,701,244,,991.95,2016-01-23 05:32:48,
495,16,245,,501.5,2016-01-19 08:48:43,
496,401,246,,868.18,2015-07-23 08:57:14,
497,852,247,,767.94,2016-04-30 21:37:42,
498,731,248,,85.72,2016-04-24 15:06:35,
499,370,249,,930.01,2015-07-07 13:04:33,
500,649,250,,421.92,2015-09-08 16:22:13,
