id,departmentId,start,"""end"""
60,715,2015-11-02 12:17:57,2015-11-02 20:17:57 UTC
61,126,2016-04-11 12:41:16,2016-04-11 20:41:16 UTC
62,764,2016-05-26 12:37:17,2016-05-26 20:37:17 UTC
63,930,2015-08-19 09:02:57,2015-08-19 17:02:57 UTC
64,962,2016-01-19 06:10:41,2016-01-19 14:10:41 UTC
65,848,2015-08-03 11:18:25,2015-08-03 19:18:25 UTC
66,759,2016-01-04 08:54:21,2016-01-04 16:54:21 UTC
67,737,2015-11-15 04:46:29,2015-11-15 12:46:29 UTC
68,34,2016-03-01 15:34:33,2016-03-01 23:34:33 UTC
69,558,2015-12-02 16:45:14,2015-12-03 00:45:14 UTC
70,580,2015-12-03 12:31:44,2015-12-03 20:31:44 UTC
71,232,2016-01-03 17:24:13,2016-01-04 01:24:13 UTC
72,558,2016-01-13 00:51:43,2016-01-13 08:51:43 UTC
73,264,2015-12-09 14:10:38,2015-12-09 22:10:38 UTC
74,945,2015-05-30 04:47:32,2015-05-30 12:47:32 UTC
75,449,2015-06-30 01:20:59,2015-06-30 09:20:59 UTC
76,161,2015-06-16 17:20:04,2015-06-17 01:20:04 UTC
77,396,2015-11-02 05:14:49,2015-11-02 13:14:49 UTC
78,763,2016-05-24 07:37:41,2016-05-24 15:37:41 UTC
79,409,2015-12-30 17:49:28,2015-12-31 01:49:28 UTC
80,650,2015-09-04 14:33:51,2015-09-04 22:33:51 UTC
81,229,2015-11-10 08:28:35,2015-11-10 16:28:35 UTC
82,436,2015-08-12 01:09:27,2015-08-12 09:09:27 UTC
83,789,2015-08-04 01:44:06,2015-08-04 09:44:06 UTC
84,628,2015-06-09 03:36:40,2015-06-09 11:36:40 UTC
85,129,2015-10-20 06:30:16,2015-10-20 14:30:16 UTC
86,528,2015-10-09 05:52:29,2015-10-09 13:52:29 UTC
87,533,2016-04-30 09:25:39,2016-04-30 17:25:39 UTC
88,703,2015-12-27 03:40:05,2015-12-27 11:40:05 UTC
89,551,2016-01-21 22:53:05,2016-01-22 06:53:05 UTC
90,419,2015-06-16 18:13:56,2015-06-17 02:13:56 UTC
91,310,2015-12-24 06:08:12,2015-12-24 14:08:12 UTC
92,530,2016-04-23 18:15:03,2016-04-24 02:15:03 UTC
93,615,2015-07-08 15:49:13,2015-07-08 23:49:13 UTC
94,383,2016-01-30 11:51:15,2016-01-30 19:51:15 UTC
95,68,2015-10-16 18:04:01,2015-10-17 02:04:01 UTC
96,891,2016-04-19 03:56:50,2016-04-19 11:56:50 UTC
97,876,2015-06-28 06:13:14,2015-06-28 14:13:14 UTC
98,407,2016-01-13 03:14:35,2016-01-13 11:14:35 UTC
99,787,2015-06-30 13:06:00,2015-06-30 21:06:00 UTC
100,942,2015-07-14 07:15:44,2015-07-14 15:15:44 UTC
101,968,2016-03-09 17:51:32,2016-03-10 01:51:32 UTC
102,877,2015-08-28 12:46:16,2015-08-28 20:46:16 UTC
103,184,2015-05-30 23:38:42,2015-05-31 07:38:42 UTC
104,18,2016-03-26 12:49:44,2016-03-26 20:49:44 UTC
105,188,2015-08-19 23:19:03,2015-08-20 07:19:03 UTC
106,608,2015-07-19 11:06:18,2015-07-19 19:06:18 UTC
107,838,2016-05-19 08:07:15,2016-05-19 16:07:15 UTC
108,580,2015-07-27 13:26:23,2015-07-27 21:26:23 UTC
109,804,2015-11-20 21:08:08,2015-11-21 05:08:08 UTC
110,671,2016-02-18 07:40:20,2016-02-18 15:40:20 UTC
111,741,2016-02-15 09:51:34,2016-02-15 17:51:34 UTC
112,446,2016-01-27 00:29:24,2016-01-27 08:29:24 UTC
113,183,2016-04-22 10:50:35,2016-04-22 18:50:35 UTC
114,653,2015-09-07 08:10:40,2015-09-07 16:10:40 UTC
115,218,2015-11-11 12:51:43,2015-11-11 20:51:43 UTC
116,237,2015-09-03 10:46:26,2015-09-03 18:46:26 UTC
117,183,2015-09-26 22:24:05,2015-09-27 06:24:05 UTC
118,500,2016-03-15 12:07:50,2016-03-15 20:07:50 UTC
119,737,2015-06-07 15:54:11,2015-06-07 23:54:11 UTC
120,501,2015-06-30 23:23:25,2015-07-01 07:23:25 UTC
121,681,2016-05-01 13:20:35,2016-05-01 21:20:35 UTC
122,265,2015-10-10 22:21:35,2015-10-11 06:21:35 UTC
123,415,2016-04-30 01:37:11,2016-04-30 09:37:11 UTC
124,614,2015-12-21 18:38:04,2015-12-22 02:38:04 UTC
125,284,2016-04-27 20:06:20,2016-04-28 04:06:20 UTC
126,795,2015-12-09 00:05:00,2015-12-09 08:05:00 UTC
127,427,2015-10-24 20:22:17,2015-10-25 04:22:17 UTC
128,273,2016-03-29 08:42:05,2016-03-29 16:42:05 UTC
129,572,2016-02-21 02:30:40,2016-02-21 10:30:40 UTC
130,838,2015-08-06 09:12:19,2015-08-06 17:12:19 UTC
131,26,2016-04-25 10:57:18,2016-04-25 18:57:18 UTC
132,170,2015-06-03 11:45:59,2015-06-03 19:45:59 UTC
133,289,2016-03-19 20:04:25,2016-03-20 04:04:25 UTC
134,667,2015-12-06 09:02:34,2015-12-06 17:02:34 UTC
135,13,2016-05-23 17:09:57,2016-05-24 01:09:57 UTC
136,472,2015-11-27 14:11:55,2015-11-27 22:11:55 UTC
137,776,2016-02-23 00:28:06,2016-02-23 08:28:06 UTC
138,766,2016-02-01 22:08:36,2016-02-02 06:08:36 UTC
139,106,2015-08-29 20:26:26,2015-08-30 04:26:26 UTC
140,3,2015-11-04 14:03:31,2015-11-04 22:03:31 UTC
141,478,2015-08-31 10:14:40,2015-08-31 18:14:40 UTC
142,836,2015-08-26 17:09:15,2015-08-27 01:09:15 UTC
143,190,2015-08-12 10:35:25,2015-08-12 18:35:25 UTC
144,353,2015-08-17 12:23:43,2015-08-17 20:23:43 UTC
145,505,2015-08-15 11:24:25,2015-08-15 19:24:25 UTC
146,617,2015-05-29 16:45:05,2015-05-30 00:45:05 UTC
147,985,2015-11-16 11:24:44,2015-11-16 19:24:44 UTC
148,731,2016-04-10 20:46:28,2016-04-11 04:46:28 UTC
149,552,2016-05-06 12:20:21,2016-05-06 20:20:21 UTC
150,368,2016-04-01 10:38:03,2016-04-01 18:38:03 UTC
151,448,2016-04-21 15:03:09,2016-04-21 23:03:09 UTC
152,198,2015-10-01 03:14:32,2015-10-01 11:14:32 UTC
153,914,2015-05-29 17:48:20,2015-05-30 01:48:20 UTC
154,222,2015-12-06 18:54:29,2015-12-07 02:54:29 UTC
155,670,2015-06-15 18:10:02,2015-06-16 02:10:02 UTC
156,362,2015-11-30 00:49:10,2015-11-30 08:49:10 UTC
157,611,2016-02-20 17:56:25,2016-02-21 01:56:25 UTC
158,841,2015-08-25 10:57:25,2015-08-25 18:57:25 UTC
159,670,2016-01-16 20:16:25,2016-01-17 04:16:25 UTC
160,321,2015-10-27 01:28:55,2015-10-27 09:28:55 UTC
161,791,2016-02-03 23:58:42,2016-02-04 07:58:42 UTC
162,457,2015-09-29 20:26:01,2015-09-30 04:26:01 UTC
163,299,2015-07-13 15:51:41,2015-07-13 23:51:41 UTC
164,669,2016-02-24 18:20:00,2016-02-25 02:20:00 UTC
165,111,2015-08-27 22:45:19,2015-08-28 06:45:19 UTC
166,405,2015-06-25 10:46:52,2015-06-25 18:46:52 UTC
167,790,2015-06-26 23:50:50,2015-06-27 07:50:50 UTC
168,169,2015-06-07 12:40:05,2015-06-07 20:40:05 UTC
169,158,2015-11-26 12:12:48,2015-11-26 20:12:48 UTC
170,309,2015-11-13 21:54:21,2015-11-14 05:54:21 UTC
171,294,2016-05-01 18:39:40,2016-05-02 02:39:40 UTC
172,934,2015-06-14 03:51:10,2015-06-14 11:51:10 UTC
173,912,2016-02-13 15:56:01,2016-02-13 23:56:01 UTC
174,266,2015-07-16 00:49:05,2015-07-16 08:49:05 UTC
175,818,2015-11-27 03:41:28,2015-11-27 11:41:28 UTC
176,951,2015-11-09 13:42:41,2015-11-09 21:42:41 UTC
177,762,2016-05-08 00:48:16,2016-05-08 08:48:16 UTC
178,514,2015-10-20 08:44:59,2015-10-20 16:44:59 UTC
179,662,2016-05-22 17:50:30,2016-05-23 01:50:30 UTC
180,672,2015-08-20 22:09:30,2015-08-21 06:09:30 UTC
181,225,2015-06-05 06:51:00,2015-06-05 14:51:00 UTC
182,229,2016-03-27 19:34:37,2016-03-28 03:34:37 UTC
183,234,2016-02-01 18:00:45,2016-02-02 02:00:45 UTC
184,284,2015-10-16 06:23:57,2015-10-16 14:23:57 UTC
185,399,2015-06-25 21:24:02,2015-06-26 05:24:02 UTC
186,876,2015-06-28 12:03:55,2015-06-28 20:03:55 UTC
187,982,2016-04-10 05:14:18,2016-04-10 13:14:18 UTC
188,902,2015-07-25 11:47:05,2015-07-25 19:47:05 UTC
189,632,2016-03-15 17:52:59,2016-03-16 01:52:59 UTC
190,17,2015-08-17 02:48:59,2015-08-17 10:48:59 UTC
191,970,2015-08-22 17:46:04,2015-08-23 01:46:04 UTC
192,6,2015-09-03 09:20:49,2015-09-03 17:20:49 UTC
193,691,2016-05-08 01:16:23,2016-05-08 09:16:23 UTC
194,418,2015-06-25 20:28:05,2015-06-26 04:28:05 UTC
195,704,2015-08-30 22:11:06,2015-08-31 06:11:06 UTC
196,16,2016-01-18 01:50:02,2016-01-18 09:50:02 UTC
197,919,2016-05-27 16:10:41,2016-05-28 00:10:41 UTC
198,678,2015-09-03 21:00:23,2015-09-04 05:00:23 UTC
199,463,2015-11-29 22:07:23,2015-11-30 06:07:23 UTC
200,840,2016-04-20 10:15:44,2016-04-20 18:15:44 UTC
201,150,2015-07-31 07:36:58,2015-07-31 15:36:58 UTC
202,441,2015-09-02 07:29:34,2015-09-02 15:29:34 UTC
203,635,2015-08-03 06:59:57,2015-08-03 14:59:57 UTC
204,141,2015-07-30 02:47:47,2015-07-30 10:47:47 UTC
205,224,2016-02-06 14:30:07,2016-02-06 22:30:07 UTC
206,162,2015-11-17 17:36:52,2015-11-18 01:36:52 UTC
207,293,2015-10-13 03:49:08,2015-10-13 11:49:08 UTC
208,282,2015-12-21 16:55:00,2015-12-22 00:55:00 UTC
209,372,2015-06-18 11:40:55,2015-06-18 19:40:55 UTC
210,298,2015-10-24 21:03:17,2015-10-25 05:03:17 UTC
211,139,2016-03-04 15:25:21,2016-03-04 23:25:21 UTC
212,849,2016-01-18 04:20:04,2016-01-18 12:20:04 UTC
213,945,2015-06-09 15:35:55,2015-06-09 23:35:55 UTC
214,708,2016-01-09 14:39:11,2016-01-09 22:39:11 UTC
215,144,2016-05-15 21:49:48,2016-05-16 05:49:48 UTC
216,505,2016-02-20 22:25:55,2016-02-21 06:25:55 UTC
217,248,2015-06-26 08:53:57,2015-06-26 16:53:57 UTC
218,20,2015-10-06 15:48:53,2015-10-06 23:48:53 UTC
219,9,2015-08-14 00:01:40,2015-08-14 08:01:40 UTC
220,903,2015-10-20 06:26:06,2015-10-20 14:26:06 UTC
221,996,2016-03-21 17:58:27,2016-03-22 01:58:27 UTC
222,50,2015-08-19 10:23:10,2015-08-19 18:23:10 UTC
223,259,2015-12-15 13:07:34,2015-12-15 21:07:34 UTC
224,820,2016-05-22 13:12:03,2016-05-22 21:12:03 UTC
225,974,2016-03-23 05:18:10,2016-03-23 13:18:10 UTC
226,39,2016-01-05 02:43:15,2016-01-05 10:43:15 UTC
227,158,2016-04-22 02:29:40,2016-04-22 10:29:40 UTC
228,315,2015-12-07 18:45:12,2015-12-08 02:45:12 UTC
229,109,2015-08-19 02:34:41,2015-08-19 10:34:41 UTC
230,782,2015-06-24 21:54:28,2015-06-25 05:54:28 UTC
231,174,2016-05-15 00:38:26,2016-05-15 08:38:26 UTC
232,694,2016-04-06 21:31:37,2016-04-07 05:31:37 UTC
233,773,2015-11-20 11:01:44,2015-11-20 19:01:44 UTC
234,858,2015-09-17 16:06:12,2015-09-18 00:06:12 UTC
235,730,2016-01-01 04:12:11,2016-01-01 12:12:11 UTC
236,55,2015-07-19 23:37:13,2015-07-20 07:37:13 UTC
237,516,2016-01-30 14:01:05,2016-01-30 22:01:05 UTC
238,356,2016-01-12 07:05:06,2016-01-12 15:05:06 UTC
239,94,2016-04-08 06:20:57,2016-04-08 14:20:57 UTC
240,137,2016-04-24 16:09:52,2016-04-25 00:09:52 UTC
241,563,2015-06-28 20:32:33,2015-06-29 04:32:33 UTC
242,982,2015-12-24 19:27:58,2015-12-25 03:27:58 UTC
243,411,2015-07-11 05:30:29,2015-07-11 13:30:29 UTC
244,879,2016-04-22 19:32:21,2016-04-23 03:32:21 UTC
245,436,2016-01-28 00:59:58,2016-01-28 08:59:58 UTC
246,756,2016-05-15 12:55:05,2016-05-15 20:55:05 UTC
247,642,2016-04-04 03:20:46,2016-04-04 11:20:46 UTC
248,896,2015-07-09 01:25:09,2015-07-09 09:25:09 UTC
249,597,2016-01-13 07:07:02,2016-01-13 15:07:02 UTC
250,223,2015-11-26 01:34:38,2015-11-26 09:34:38 UTC
251,384,2016-03-06 17:19:06,2016-03-07 01:19:06 UTC
252,226,2016-03-23 04:13:45,2016-03-23 12:13:45 UTC
253,207,2015-10-19 16:12:53,2015-10-20 00:12:53 UTC
254,27,2016-03-11 23:19:53,2016-03-12 07:19:53 UTC
255,173,2016-01-01 13:21:57,2016-01-01 21:21:57 UTC
256,257,2015-12-01 05:59:34,2015-12-01 13:59:34 UTC
257,929,2015-10-30 07:48:26,2015-10-30 15:48:26 UTC
258,49,2016-05-19 04:59:27,2016-05-19 12:59:27 UTC
259,557,2015-10-14 15:58:28,2015-10-14 23:58:28 UTC
260,191,2015-10-31 07:17:42,2015-10-31 15:17:42 UTC
261,659,2015-12-06 15:07:35,2015-12-06 23:07:35 UTC
262,219,2015-10-25 16:26:31,2015-10-26 00:26:31 UTC
263,954,2015-08-20 02:06:35,2015-08-20 10:06:35 UTC
264,79,2015-10-20 16:51:14,2015-10-21 00:51:14 UTC
265,838,2015-12-18 04:24:14,2015-12-18 12:24:14 UTC
266,38,2015-12-06 05:49:03,2015-12-06 13:49:03 UTC
267,992,2015-06-16 11:21:15,2015-06-16 19:21:15 UTC
268,216,2015-11-07 14:11:07,2015-11-07 22:11:07 UTC
269,632,2016-03-13 05:03:03,2016-03-13 13:03:03 UTC
270,169,2015-11-30 23:52:33,2015-12-01 07:52:33 UTC
271,500,2015-06-22 16:10:13,2015-06-23 00:10:13 UTC
272,537,2016-05-19 08:29:26,2016-05-19 16:29:26 UTC
273,367,2016-03-18 02:29:15,2016-03-18 10:29:15 UTC
274,607,2015-12-16 03:35:39,2015-12-16 11:35:39 UTC
275,558,2016-01-19 16:04:42,2016-01-20 00:04:42 UTC
276,229,2015-09-07 16:38:39,2015-09-08 00:38:39 UTC
277,664,2015-08-05 02:45:58,2015-08-05 10:45:58 UTC
278,77,2015-09-27 23:01:43,2015-09-28 07:01:43 UTC
279,771,2015-07-22 03:59:58,2015-07-22 11:59:58 UTC
280,636,2016-05-18 02:31:56,2016-05-18 10:31:56 UTC
281,936,2015-09-06 00:19:00,2015-09-06 08:19:00 UTC
282,327,2016-02-07 12:07:55,2016-02-07 20:07:55 UTC
283,682,2015-06-12 16:38:43,2015-06-13 00:38:43 UTC
284,673,2016-05-01 04:35:25,2016-05-01 12:35:25 UTC
285,359,2015-06-06 18:58:02,2015-06-07 02:58:02 UTC
286,144,2015-06-09 15:42:58,2015-06-09 23:42:58 UTC
287,644,2016-02-24 04:58:51,2016-02-24 12:58:51 UTC
288,908,2015-11-16 13:08:52,2015-11-16 21:08:52 UTC
289,349,2016-03-29 09:27:22,2016-03-29 17:27:22 UTC
290,561,2016-02-04 19:27:12,2016-02-05 03:27:12 UTC
291,394,2015-09-27 17:09:45,2015-09-28 01:09:45 UTC
292,684,2015-11-08 23:11:44,2015-11-09 07:11:44 UTC
293,516,2016-04-26 23:52:23,2016-04-27 07:52:23 UTC
294,887,2015-08-24 07:36:57,2015-08-24 15:36:57 UTC
295,905,2016-05-13 09:52:04,2016-05-13 17:52:04 UTC
296,978,2015-06-15 01:32:59,2015-06-15 09:32:59 UTC
297,729,2016-05-19 07:26:04,2016-05-19 15:26:04 UTC
298,816,2015-09-16 17:03:17,2015-09-17 01:03:17 UTC
299,880,2016-04-27 19:02:19,2016-04-28 03:02:19 UTC
300,378,2016-05-02 17:00:07,2016-05-03 01:00:07 UTC
301,980,2016-04-15 10:08:58,2016-04-15 18:08:58 UTC
302,409,2016-01-04 06:38:15,2016-01-04 14:38:15 UTC
303,6,2015-07-11 18:16:27,2015-07-12 02:16:27 UTC
304,713,2016-03-28 05:55:29,2016-03-28 13:55:29 UTC
305,512,2015-06-18 04:08:32,2015-06-18 12:08:32 UTC
306,758,2015-10-06 16:21:43,2015-10-07 00:21:43 UTC
307,462,2015-10-07 23:27:15,2015-10-08 07:27:15 UTC
308,305,2016-01-20 22:16:54,2016-01-21 06:16:54 UTC
309,810,2015-09-08 13:34:57,2015-09-08 21:34:57 UTC
310,984,2015-10-19 04:58:50,2015-10-19 12:58:50 UTC
311,809,2015-11-28 02:55:30,2015-11-28 10:55:30 UTC
312,350,2016-03-14 08:25:32,2016-03-14 16:25:32 UTC
313,22,2016-04-07 00:47:15,2016-04-07 08:47:15 UTC
314,744,2016-03-03 12:27:18,2016-03-03 20:27:18 UTC
315,319,2016-05-06 23:09:02,2016-05-07 07:09:02 UTC
316,317,2015-09-13 13:43:17,2015-09-13 21:43:17 UTC
317,101,2015-07-15 03:26:13,2015-07-15 11:26:13 UTC
318,740,2015-10-03 21:18:23,2015-10-04 05:18:23 UTC
319,466,2015-10-07 09:30:44,2015-10-07 17:30:44 UTC
320,339,2016-04-16 07:36:29,2016-04-16 15:36:29 UTC
321,387,2015-10-20 11:13:12,2015-10-20 19:13:12 UTC
322,447,2016-01-12 14:38:57,2016-01-12 22:38:57 UTC
323,162,2015-07-29 05:44:47,2015-07-29 13:44:47 UTC
324,647,2015-06-29 16:17:40,2015-06-30 00:17:40 UTC
325,781,2016-04-09 22:58:31,2016-04-10 06:58:31 UTC
326,740,2015-09-15 22:22:34,2015-09-16 06:22:34 UTC
327,173,2015-07-06 11:07:51,2015-07-06 19:07:51 UTC
328,201,2015-09-26 23:27:29,2015-09-27 07:27:29 UTC
329,643,2016-01-07 18:06:26,2016-01-08 02:06:26 UTC
330,23,2015-08-29 18:45:25,2015-08-30 02:45:25 UTC
331,782,2016-02-29 10:50:58,2016-02-29 18:50:58 UTC
332,830,2016-02-09 21:04:55,2016-02-10 05:04:55 UTC
333,674,2016-03-16 14:06:36,2016-03-16 22:06:36 UTC
334,231,2016-04-09 09:31:38,2016-04-09 17:31:38 UTC
335,844,2015-11-23 03:26:41,2015-11-23 11:26:41 UTC
336,446,2015-09-15 21:25:45,2015-09-16 05:25:45 UTC
337,248,2016-05-15 09:42:41,2016-05-15 17:42:41 UTC
338,138,2016-05-10 20:52:16,2016-05-11 04:52:16 UTC
339,674,2015-10-06 16:35:01,2015-10-07 00:35:01 UTC
340,283,2015-09-13 06:29:57,2015-09-13 14:29:57 UTC
341,943,2015-12-31 00:41:34,2015-12-31 08:41:34 UTC
342,83,2016-04-07 12:29:30,2016-04-07 20:29:30 UTC
343,606,2015-09-18 16:46:58,2015-09-19 00:46:58 UTC
344,303,2015-10-31 07:57:30,2015-10-31 15:57:30 UTC
345,883,2015-06-20 19:46:24,2015-06-21 03:46:24 UTC
346,92,2015-06-01 08:17:21,2015-06-01 16:17:21 UTC
347,326,2015-09-23 12:45:59,2015-09-23 20:45:59 UTC
348,730,2015-08-18 03:34:05,2015-08-18 11:34:05 UTC
349,717,2015-12-17 03:46:08,2015-12-17 11:46:08 UTC
350,681,2015-06-15 05:43:23,2015-06-15 13:43:23 UTC
351,774,2015-06-02 19:44:37,2015-06-03 03:44:37 UTC
352,433,2016-04-23 16:13:08,2016-04-24 00:13:08 UTC
353,481,2016-05-09 09:20:36,2016-05-09 17:20:36 UTC
354,281,2016-03-14 16:26:31,2016-03-15 00:26:31 UTC
355,650,2016-02-07 22:20:05,2016-02-08 06:20:05 UTC
356,68,2016-01-04 08:06:37,2016-01-04 16:06:37 UTC
357,365,2015-11-28 19:17:41,2015-11-29 03:17:41 UTC
358,756,2015-08-13 21:10:47,2015-08-14 05:10:47 UTC
359,942,2016-05-27 04:49:33,2016-05-27 12:49:33 UTC
360,753,2016-03-13 23:18:49,2016-03-14 07:18:49 UTC
361,68,2016-04-08 16:48:58,2016-04-09 00:48:58 UTC
362,892,2015-09-02 14:43:22,2015-09-02 22:43:22 UTC
363,105,2016-01-07 09:02:12,2016-01-07 17:02:12 UTC
364,550,2015-12-13 05:11:44,2015-12-13 13:11:44 UTC
365,518,2015-06-17 01:27:02,2015-06-17 09:27:02 UTC
366,920,2015-11-10 08:49:47,2015-11-10 16:49:47 UTC
367,389,2015-08-09 19:16:50,2015-08-10 03:16:50 UTC
368,361,2015-07-09 17:29:17,2015-07-10 01:29:17 UTC
369,966,2016-02-23 16:10:42,2016-02-24 00:10:42 UTC
370,91,2015-06-14 18:27:13,2015-06-15 02:27:13 UTC
371,121,2015-09-09 00:58:28,2015-09-09 08:58:28 UTC
372,32,2015-07-15 17:35:33,2015-07-16 01:35:33 UTC
373,51,2016-02-02 13:03:28,2016-02-02 21:03:28 UTC
374,193,2015-08-07 13:54:57,2015-08-07 21:54:57 UTC
375,655,2015-08-18 14:03:01,2015-08-18 22:03:01 UTC
376,144,2016-03-07 12:22:02,2016-03-07 20:22:02 UTC
377,683,2015-11-24 06:15:22,2015-11-24 14:15:22 UTC
378,840,2015-06-15 23:56:09,2015-06-16 07:56:09 UTC
379,411,2016-04-27 16:36:51,2016-04-28 00:36:51 UTC
380,156,2016-03-02 23:16:43,2016-03-03 07:16:43 UTC
381,445,2016-04-27 10:38:47,2016-04-27 18:38:47 UTC
382,694,2015-06-04 01:29:40,2015-06-04 09:29:40 UTC
383,941,2016-05-20 02:16:47,2016-05-20 10:16:47 UTC
384,102,2015-06-12 04:42:52,2015-06-12 12:42:52 UTC
385,61,2015-11-24 07:24:20,2015-11-24 15:24:20 UTC
386,269,2016-03-30 13:32:54,2016-03-30 21:32:54 UTC
387,933,2016-05-12 19:00:26,2016-05-13 03:00:26 UTC
388,146,2015-07-11 07:49:27,2015-07-11 15:49:27 UTC
389,326,2015-09-30 09:24:19,2015-09-30 17:24:19 UTC
390,730,2016-01-28 13:18:20,2016-01-28 21:18:20 UTC
391,160,2015-07-16 18:39:21,2015-07-17 02:39:21 UTC
392,224,2016-02-11 22:40:49,2016-02-12 06:40:49 UTC
393,599,2015-07-05 14:42:42,2015-07-05 22:42:42 UTC
394,867,2016-02-24 11:33:08,2016-02-24 19:33:08 UTC
395,232,2015-10-05 10:29:26,2015-10-05 18:29:26 UTC
396,567,2015-08-19 16:00:48,2015-08-20 00:00:48 UTC
397,132,2015-10-02 01:04:33,2015-10-02 09:04:33 UTC
398,711,2015-11-02 05:54:12,2015-11-02 13:54:12 UTC
399,695,2015-08-21 10:42:18,2015-08-21 18:42:18 UTC
400,798,2016-05-10 10:58:49,2016-05-10 18:58:49 UTC
401,575,2016-02-13 02:23:14,2016-02-13 10:23:14 UTC
402,688,2015-11-06 11:23:50,2015-11-06 19:23:50 UTC
403,912,2016-03-05 12:57:53,2016-03-05 20:57:53 UTC
404,614,2016-01-03 02:16:34,2016-01-03 10:16:34 UTC
405,504,2016-04-10 05:53:16,2016-04-10 13:53:16 UTC
406,691,2016-02-10 08:48:47,2016-02-10 16:48:47 UTC
407,476,2015-09-30 17:37:36,2015-10-01 01:37:36 UTC
408,326,2016-05-10 06:55:16,2016-05-10 14:55:16 UTC
409,655,2015-06-12 18:45:07,2015-06-13 02:45:07 UTC
410,124,2015-11-28 14:00:32,2015-11-28 22:00:32 UTC
