id,shelterId,orgId,individualId,amount,whenDonated,recurrence
101,738,,101,787.1,2015-11-24 15:30:34,
102,901,,102,911.48,2015-06-30 05:45:17,
103,657,,103,755.52,2015-08-17 22:32:09,
104,686,,104,954.06,2016-02-18 09:43:23,
105,363,,105,505.14,2016-04-07 04:12:16,
106,239,,106,464.89,2016-04-17 21:43:37,
107,405,,107,658.33,2015-09-24 23:20:28,
108,592,,108,696.92,2015-09-10 13:03:59,
109,495,,109,788.65,2016-01-21 20:19:00,
110,601,,110,103.15,2015-11-25 22:11:16,
111,352,,111,194.84,2016-04-05 00:38:53,
112,92,,112,298.61,2016-04-13 20:51:36,
113,172,,113,138.05,2015-11-29 01:02:19,
114,428,,114,43.22,2016-04-03 16:33:57,
115,903,,115,845.37,2015-11-23 08:04:33,
116,741,,116,870.87,2015-08-02 03:10:04,
117,519,,117,530.3,2015-09-05 14:19:58,
118,144,,118,546.7,2016-01-08 09:16:07,
119,872,,119,789.57,2016-02-01 01:22:10,
120,208,,120,512.72,2015-10-15 19:47:08,
121,721,,121,230.87,2016-05-08 03:00:41,
122,826,,122,520.32,2016-03-01 17:02:20,
123,662,,123,113.91,2016-01-02 03:05:24,
124,628,,124,227.04,2015-12-23 08:40:34,
125,524,,125,392.79,2015-09-28 03:55:26,
126,90,,126,98.37,2015-10-03 15:40:53,
127,821,,127,938.58,2015-07-06 17:24:07,
128,950,,128,673.18,2015-12-07 10:07:36,
129,462,,129,169.39,2015-08-24 04:53:46,
130,430,,130,63.49,2015-05-28 15:04:49,
131,415,,131,628.61,2015-09-18 16:19:45,
132,450,,132,255.3,2016-05-04 23:19:04,
133,823,,133,298.76,2015-09-06 01:35:08,
134,107,,134,846.84,2015-05-28 03:15:15,
135,735,,135,574.79,2015-12-27 21:54:07,
136,16,,136,544.51,2015-07-21 19:29:16,
137,511,,137,707.85,2015-11-02 06:30:51,
138,552,,138,327.04,2015-12-02 07:25:04,
139,815,,139,729.13,2016-04-13 05:36:30,
140,697,,140,130.07,2016-04-03 14:43:40,
141,748,,141,890.7,2015-09-11 15:30:33,
142,679,,142,747.4,2015-12-21 22:04:06,
143,641,,143,323.5,2015-06-03 19:51:41,
144,300,,144,706.93,2016-02-21 20:44:16,
145,948,,145,704.17,2015-12-07 09:01:01,
146,833,,146,109.74,2015-08-08 17:24:43,
147,586,,147,308.96,2015-11-28 02:44:13,
148,239,,148,1.9,2016-04-01 01:35:08,
149,154,,149,387.85,2015-11-02 05:25:51,
150,138,,150,593.68,2015-09-29 20:57:50,
151,974,,151,665.62,2016-03-10 08:42:01,
152,570,,152,966.29,2016-03-03 01:37:41,
153,596,,153,169.85,2016-01-17 08:21:10,
154,225,,154,491.86,2016-02-01 13:40:29,
155,387,,155,948.81,2016-04-22 06:40:16,
156,858,,156,81.19,2016-04-03 01:30:31,
157,26,,157,836.95,2015-11-11 20:10:33,
158,983,,158,774.37,2015-09-14 15:46:49,
159,522,,159,109.16,2016-04-23 22:24:49,
160,40,,160,274.49,2015-07-24 04:55:59,
161,84,,161,826.18,2016-04-05 07:59:19,
162,482,,162,522.94,2016-05-01 19:17:26,
163,391,,163,837.99,2015-09-17 05:45:31,
164,265,,164,770.46,2015-08-05 18:28:20,
165,457,,165,693.18,2015-08-29 12:55:43,
166,202,,166,55.23,2016-01-13 00:24:27,
167,201,,167,778.34,2015-10-24 13:05:23,
168,303,,168,706.02,2015-09-11 12:32:37,
169,546,,169,396.6,2016-03-29 06:49:13,
170,586,,170,161.66,2015-10-09 17:46:00,
171,99,,171,521.57,2015-09-19 17:05:23,
172,352,,172,760.63,2015-07-18 14:44:06,
173,669,,173,459.0,2016-01-19 08:06:20,
174,416,,174,223.28,2015-08-08 16:13:29,
175,741,,175,469.25,2015-09-21 16:04:35,
176,534,,176,31.79,2015-09-06 06:49:49,
177,927,,177,952.98,2016-01-15 18:06:31,
178,562,,178,977.58,2016-01-17 04:01:16,
179,880,,179,798.7,2015-05-31 04:44:27,
180,612,,180,579.17,2015-09-09 12:24:48,
181,521,,181,78.88,2015-07-04 13:07:43,
182,780,,182,607.51,2015-09-18 06:23:16,
183,394,,183,846.22,2015-12-10 05:50:00,
184,893,,184,728.23,2015-07-14 23:18:32,
185,896,,185,230.78,2016-03-29 03:21:01,
186,130,,186,662.88,2015-10-22 03:00:47,
187,975,,187,777.98,2015-12-24 08:48:48,
188,665,,188,494.13,2016-01-12 01:00:44,
189,898,,189,148.61,2016-04-16 21:46:33,
190,906,,190,855.49,2016-02-08 05:29:07,
191,616,,191,981.56,2015-10-31 06:56:02,
192,222,,192,337.65,2016-03-02 13:14:09,
193,450,,193,460.7,2015-10-13 13:00:08,
194,674,,194,555.97,2016-04-24 12:14:01,
195,338,,195,239.13,2016-01-23 09:22:38,
196,583,,196,33.73,2015-08-19 13:43:50,
197,908,,197,903.0,2015-10-22 02:02:05,
198,470,,198,165.72,2015-09-23 11:54:12,
199,900,,199,726.55,2016-05-03 13:27:07,
200,731,,200,173.53,2015-06-04 19:25:49,
201,965,,201,62.01,2015-07-01 07:54:36,
202,539,,202,223.04,2015-07-30 21:35:58,
203,10,,203,907.83,2016-02-07 12:50:03,
204,761,,204,24.15,2016-01-30 09:45:54,
205,823,,205,339.82,2015-06-27 17:45:16,
206,941,,206,607.55,2015-08-09 10:11:46,
207,870,,207,721.61,2016-02-06 00:25:26,
208,420,,208,737.1,2015-10-18 02:47:37,
209,164,,209,434.8,2015-08-14 23:00:37,
210,351,,210,732.53,2016-03-03 16:28:07,
211,517,,211,763.03,2015-09-29 01:56:36,
212,312,,212,927.49,2016-05-02 10:00:34,
213,631,,213,949.59,2015-10-21 11:48:46,
214,244,,214,234.25,2015-07-14 09:54:39,
215,959,,215,235.24,2015-07-15 00:10:25,
216,894,,216,899.6,2015-08-12 09:56:03,
217,606,,217,397.65,2015-09-28 11:59:17,
218,55,,218,510.62,2015-06-05 01:47:54,
219,152,,219,998.76,2016-05-06 20:20:39,
220,240,,220,149.71,2016-01-28 13:50:49,
221,924,,221,474.69,2015-08-24 20:45:35,
222,245,,222,256.09,2015-10-08 21:03:06,
223,187,,223,22.02,2015-09-12 02:51:56,
224,397,,224,693.94,2015-06-16 19:26:21,
225,675,,225,754.62,2016-03-09 02:40:32,
226,79,,226,83.84,2016-02-05 07:31:57,
227,229,,227,198.56,2015-08-21 08:20:56,
228,559,,228,751.42,2016-04-28 10:30:26,
229,239,,229,851.5,2015-10-30 02:36:49,
230,951,,230,964.16,2015-06-27 06:05:10,
231,151,,231,591.89,2015-06-22 21:17:31,
232,405,,232,56.07,2015-12-18 22:14:50,
233,891,,233,490.6,2015-07-21 03:01:21,
234,365,,234,324.8,2015-06-20 17:13:37,
235,589,,235,828.67,2015-11-18 13:11:31,
236,165,,236,977.88,2015-10-18 06:36:12,
237,485,,237,157.58,2015-12-03 02:37:07,
238,165,,238,843.33,2016-02-14 04:28:40,
239,537,,239,633.69,2016-01-16 03:19:21,
240,136,,240,414.83,2015-09-25 08:49:12,
241,583,,241,22.67,2016-05-12 15:46:59,
242,781,,242,233.08,2015-05-30 20:55:59,
243,812,,243,964.85,2015-10-23 02:20:02,
244,363,,244,957.05,2015-12-31 07:45:12,
245,816,,245,208.02,2016-03-30 07:15:53,
246,848,,246,313.25,2016-05-10 03:58:13,
247,89,,247,655.98,2015-12-06 01:20:08,
248,206,,248,119.2,2016-03-24 07:16:39,
249,107,,249,414.05,2015-12-27 12:25:03,
250,152,,250,520.76,2015-07-06 21:23:53,
