shelterId,no,capacity,occupancy
621,QW28JA,3,0
622,7830,3,2
623,J34RX,1,0
624,VL8380,3,1
625,NJ9843,1,1
626,OM01L,2,1
627,I5304,3,3
628,VI810S,1,1
629,4841C,1,0
630,CR374P,1,1
631,W5W,3,2
632,140,2,1
633,541N,3,2
634,B4048B,3,1
635,364C,2,2
636,TL5658,1,0
637,7923TD,5,0
638,G685WH,1,0
639,5729P,2,2
640,C2L,5,2
641,4M,2,1
642,2203X,2,0
643,VQ41,5,2
644,MN13QG,5,3
645,EO7106CI,5,2
646,GW2932OZ,5,5
647,V8749P,5,4
648,L4514XB,3,0
649,M8L,3,1
650,945,1,0
651,ZX7676C,5,2
652,OH5497P,4,2
653,92UM,3,1
654,YW4214GP,2,2
655,4GL,1,0
656,96,5,5
657,IH98DB,4,0
658,B23BO,5,0
659,EO723UH,5,4
660,06Y,2,0
661,W77LR,4,3
662,5727,2,0
663,T17,5,5
664,D38CH,4,4
665,J7136,1,0
666,40BP,2,2
667,SD8S,2,2
668,1M,4,2
669,H656G,2,2
670,AF505YD,4,4
671,939MZ,4,1
672,9708QW,2,0
673,4403,2,0
674,C7VA,5,0
675,CA8182X,4,3
676,BH7314RS,4,3
677,GM998,1,0
678,932,4,3
679,R6702IY,1,0
680,AB2380,1,0
681,XJ006E,2,0
682,FV84U,2,0
683,UG9WM,5,3
684,A9T,4,1
685,D98,2,0
686,Q501,2,1
687,E03X,2,1
688,EN326,1,1
689,J4848,5,1
690,1858X,5,4
691,28NE,2,1
692,P2543P,4,0
693,R3188,4,2
694,WF2701F,3,3
695,EQ893J,4,1
696,6415H,2,2
697,O3165E,2,0
698,29,1,1
699,CX8DY,3,2
700,O346,1,0
701,7F,1,0
702,5530,3,3
703,4L,2,1
704,533R,1,0
705,EW5624H,5,5
706,59X,4,3
707,W27NR,3,0
708,F32M,2,1
709,2487,1,0
710,8032Q,2,2
711,NW3,2,2
712,Y4479O,2,2
713,6X,2,0
714,3323S,2,0
715,7100,3,2
716,VZ4177,5,0
717,B6LC,1,1
718,518V,1,0
719,C3H,5,5
720,S8L,4,3
721,ZU7268F,4,0
722,63GO,3,2
723,Q6245,5,1
724,5,3,2
725,GR5,4,2
726,W0771Q,1,1
727,MJ3BZ,3,1
728,NX497T,4,2
729,L82PD,5,3
730,344,1,0
731,A47TU,5,5
732,IX61J,1,0
733,SP472S,3,3
734,2UP,2,0
735,D7622,5,5
736,D4986W,5,2
737,A80AS,5,2
738,Z82G,5,3
739,V1177SX,4,3
740,QE0VR,5,0
741,4627DV,4,2
742,ZD9O,5,3
743,VB493W,3,0
744,FO15,1,1
745,R3445Z,5,1
746,502A,3,1
747,TD55V,5,1
748,713,4,3
749,R7951Y,5,3
750,VW1486X,2,1
751,EQ5H,2,0
752,O921C,5,4
753,09,3,1
754,Y174,4,2
755,NS8,2,1
756,ND716SJ,3,1
757,YG9F,5,4
758,09H,3,0
759,WS7,2,2
760,DU175WP,5,0
761,A79R,4,3
762,W1545MZ,5,4
763,SK004,5,4
764,R3EI,4,4
765,DO9325V,4,3
766,XA22Z,2,1
767,F61,2,0
768,3,3,1
769,JY993N,2,1
770,BS72,1,1
771,M6TC,4,2
772,R7508Y,5,5
773,M626,1,0
774,Z7EB,4,0
775,W7E,1,1
776,L0138J,5,5
777,D0371X,3,3
778,V5A,3,2
779,AX451D,3,2
780,LA672X,3,0
781,AB87SO,1,0
782,LT9M,4,0
783,IJ6C,1,1
784,5,4,2
785,KR13,4,2
786,9883H,4,2
787,93OF,5,2
788,C768SU,2,0
789,U621SR,2,1
790,L73,3,0
791,2446,4,4
792,9R,2,0
793,JA6FH,3,1
794,O1GZ,5,1
795,63JT,4,0
796,7239RM,5,1
797,86T,2,0
798,PW82S,3,3
799,A97F,2,2
800,XL17,4,3
801,K4,3,3
802,5,1,1
803,WH21Z,4,2
804,ZV9U,2,1
805,P6,1,0
806,T1X,2,2
807,ID7E,4,1
808,GV383G,5,0
809,RK356K,5,5
810,BQ2WA,3,2
811,228N,3,0
812,7431,3,1
813,9MG,5,0
814,1H,5,1
815,F91YU,2,0
816,9627R,5,5
817,3502IL,4,0
818,ZN75SH,2,1
819,QM78EC,4,4
820,336J,5,2
821,P9,5,4
822,9F,4,1
823,LV10,3,2
824,Y5R,2,2
825,JI21IO,1,0
826,7111,2,1
827,0169KI,4,4
828,4BI,2,1
829,P8KS,5,0
830,57,3,2
831,VL6428,4,0
832,A21NC,2,2
833,037N,5,5
834,BS0728D,5,5
835,4931GS,2,2
836,5351,3,2
837,MS320W,4,3
838,32K,5,5
839,57Y,5,3
840,U65,1,0
841,07,1,1
842,Z528G,1,0
843,9QE,5,1
844,79,1,0
845,H68,3,0
846,L1805M,3,0
847,TM33,5,5
848,V62Y,3,0
849,AO95,3,0
850,W9144AK,3,2
851,R6493SU,2,0
852,ZX9,3,0
853,MT2816,1,1
854,DK8,5,4
855,J3755L,1,1
856,X3T,4,4
857,SK18,1,1
858,IO5789Z,4,4
859,ST74DR,2,2
860,E04,5,2
861,BU8,4,0
862,1,3,3
863,HQ050L,1,0
864,NS3T,2,0
865,DT34,5,0
866,4509Q,4,1
867,7YK,5,5
868,8422,2,1
869,52GQ,1,0
870,Z24Q,1,0
871,G942,5,5
872,D0YP,4,0
873,211,4,3
874,O57CD,4,0
875,O07A,1,0
876,BE72AM,3,3
877,2458,3,1
878,U210,4,0
879,AV003Z,2,0
880,JA68,4,3
881,P6240P,2,1
882,3005,3,0
883,0WN,4,3
884,029,2,1
885,H7029T,2,1
886,K71K,4,0
887,718,4,2
888,2YI,3,0
889,UR6Y,5,0
890,3067I,3,1
891,QU4798,2,0
892,8149,2,0
893,U64,4,4
894,3582S,4,2
895,W6910ML,1,1
896,I4I,1,1
897,TG8855WF,2,0
898,X630,5,4
899,6190,1,1
900,5,1,0
901,K8663O,4,0
902,7536,5,1
903,M096I,5,3
904,HE0,2,2
905,17QA,5,4
906,WS6MW,4,0
907,BA9818Z,2,2
908,595,2,0
909,I9ZX,5,4
910,F9308VI,2,1
911,OV1951,2,1
912,CP8295,1,1
913,MP6547BN,5,2
914,XC0Q,3,1
915,28,4,0
916,C233,4,3
917,005R,5,4
918,041Q,4,0
919,HO13VO,4,4
920,MC1290XA,3,2
921,B153RM,2,2
922,81HC,5,3
923,I75RT,1,1
924,S16,2,2
925,4048D,5,3
926,H0YP,1,0
927,G6477F,2,1
928,I263N,1,0
929,YN2272,3,1
930,741N,1,0
931,GM662E,4,0
932,DU23GY,4,0
933,FU222PO,1,0
934,95JA,4,2
935,17ON,2,1
936,70VC,5,4
937,C7179DY,4,4
938,PS361E,3,2
939,BH49X,4,3
940,304S,2,0
941,5742,2,1
942,JV8W,5,5
943,H229L,1,1
944,83NX,2,1
945,AE82,2,2
946,UW014,5,2
947,PO834L,5,3
948,W772EG,2,1
949,O0QD,2,1
950,05,1,1
951,D7CW,5,4
952,I6DK,3,0
953,V5217BM,4,0
954,269,4,2
955,51VG,4,0
956,D0912,5,4
957,C3158P,3,3
958,B768V,5,3
959,RH31,1,0
960,256,3,3
961,DS36NB,5,2
962,2SG,4,4
963,EH949D,2,1
964,GW204YB,1,1
965,Q0LQ,1,0
966,P6XF,4,1
967,MJ5124AV,1,1
968,U326IB,5,4
969,670,2,2
970,4897,5,3
971,KW0,4,2
972,6841C,2,2
973,W728,3,2
974,E241X,2,2
975,XD47,4,0
976,EQ3GW,4,2
977,JU8PO,3,3
978,Y7Q,5,2
979,T495KQ,5,3
980,I85A,5,2
981,AU155Q,4,0
982,7867,5,2
983,TB5172OU,4,1
984,4,4,4
985,1RS,3,3
986,P9,3,1
987,R9,3,1
988,6ZO,3,2
989,888R,1,0
990,YX17,1,1
991,CN94I,1,0
992,X6H,4,1
993,005QO,4,3
994,87V,4,4
995,L4,3,3
996,KP526Z,2,2
997,C85X,4,0
998,K76,5,5
999,44B,4,3
1000,EF913Z,4,0
676,K2L,3,1
867,LQ4U,1,0
63,3958Y,3,2
372,H5306OL,4,0
537,VC1232,4,2
295,N1114,4,0
819,8694P,4,3
649,365,1,0
887,W62T,1,1
509,A3895,1,1
410,77J,4,1
914,50LY,3,0
920,56,4,2
443,784K,2,1
7,I4267YH,3,1
991,0,1,1
732,V58JV,4,0
479,4Q,5,2
234,JP130BE,3,2
705,96UG,5,5
893,RX861GV,5,1
259,EQ839ZL,5,0
791,F7797N,5,1
284,2244Z,3,3
304,F5LI,1,0
790,54Q,3,3
405,A52O,5,1
621,G02,1,1
619,412KQ,2,2
191,ML02WN,1,1
343,8,3,0
434,0AE,1,1
643,7787,5,5
611,UZ6W,5,1
363,PI1MX,4,1
790,UO9385,4,4
755,W76XB,5,2
232,DR0563,5,2
551,B8076IS,3,1
919,4560G,3,2
669,XV638,1,0
914,2730TS,1,0
86,EB06R,5,1
234,B722K,5,5
394,A242DF,2,1
469,M363HS,5,5
621,NI2874F,1,1
553,737HX,2,0
861,M966QU,4,1
793,KC9767O,4,1
200,Z9405J,1,1
391,M3,3,3
335,Y4,2,1
980,686MB,5,1
628,RQ286QO,2,2
190,4C,3,1
966,J1941SF,3,1
764,G7I,5,1
789,QK0,1,1
90,N6D,5,0
325,XI165O,1,0
577,80Y,1,0
877,907J,3,0
159,907,5,0
465,169J,1,1
330,0256A,1,1
756,2191X,4,3
838,83F,5,5
671,FY8830M,5,4
740,NQ27FC,2,2
113,U619,4,1
937,S0658,5,4
522,B0,4,4
961,G1,3,2
401,2E,2,1
214,120TD,2,1
708,G39Z,1,1
323,359MX,3,3
216,X153X,2,2
207,LU3874QK,2,0
45,3BC,4,1
388,QG9428ZS,1,0
130,PS83I,3,1
496,R59,4,2
864,V6,3,1
616,8,4,2
530,VL90,3,1
285,FG2L,2,0
862,EF5695U,4,4
664,JN98H,3,1
8,W57R,5,5
679,4520NU,2,0
194,2556O,3,0
167,QZ9,5,0
982,FV360,4,3
298,D0751D,4,0
756,S0744,4,1
793,52XH,3,0
649,Q06DC,5,4
976,D6K,2,2
146,FV4,5,3
591,A0382Z,1,0
970,0PI,2,2
52,Z1028WT,5,0
56,1831K,4,2
693,0416,2,0
19,YJ1608,3,2
271,CO7,5,3
285,9779K,5,2
996,T18PL,3,0
84,HT9MC,1,0
126,DU8XV,4,1
777,HE164GC,4,1
114,197QK,3,0
757,FG597JR,3,3
119,X5BR,3,1
112,A852,3,2
104,M2338,5,5
989,U01QA,2,1
724,9874,1,0
650,M84B,1,0
436,XH5313,3,3
317,U6796HU,1,1
221,YQ52QR,5,2
594,U62,5,4
35,T9816GI,5,3
642,ZK3U,1,0
604,259C,4,2
295,O7699,4,1
433,8,4,2
52,K29N,3,2
586,6XC,2,1
323,6533E,3,2
340,OC9,3,1
875,JE732CD,4,4
364,B68V,1,1
256,2H,5,0
536,20QL,5,4
276,KS978UZ,5,4
927,P2355F,3,0
359,G39,2,2
834,Y844,5,2
699,M89,1,1
62,T1652,1,0
202,O0L,2,1
812,VS4139CA,3,1
580,710,1,0
17,XE4775I,2,0
919,Z180SQ,1,1
686,ZV503B,2,2
225,56K,4,4
131,M84U,3,0
714,Q136IC,5,0
787,CQ003,3,0
561,19AF,1,0
198,A5,5,2
924,156HD,5,1
275,M5,2,0
855,EC6I,5,0
668,9365AY,2,2
313,5,5,5
29,U5UW,5,1
237,P0665,4,2
623,D5483MV,5,0
194,YC0249F,3,0
414,ME496,2,1
35,M82Y,1,1
74,802HX,3,2
253,X18,1,0
515,356G,1,1
707,K72,4,3
585,7,1,1
809,IY4027K,4,4
538,QM40,3,1
666,89,4,2
947,OU131YX,3,0
130,03,2,0
683,A8QZ,5,1
743,G86,5,1
514,G3C,5,0
937,MX64EW,3,0
372,Z4Z,2,2
292,YM1WA,5,4
796,Z222IW,4,0
448,J071V,3,3
997,TY7966Q,5,5
822,RV9,3,3
838,N03IL,3,1
454,DH317,3,1
549,F05FZ,3,0
896,MR3209CO,1,1
76,Z3424,5,2
947,130E,3,3
150,83,4,2
801,B91E,1,1
583,QR1,1,0
458,MO2291,3,0
843,20BW,3,0
409,M523J,5,5
252,AO328,1,1
191,3WB,2,0
923,IF03PJ,1,0
656,F8ZY,4,3
284,UY2J,2,0
495,QP446S,4,3
888,O844,4,2
599,SH1C,2,2
325,5,1,1
915,I3OX,4,0
901,206F,4,4
164,5441ES,1,0
573,UH1181LU,2,2
966,Q94V,2,1
354,KO0LY,4,3
693,YV22,5,3
146,20C,4,2
949,I100JK,4,3
333,D1874KB,3,0
954,JL9,4,3
244,4546BX,2,0
350,67,5,4
251,0861E,4,0
596,D8O,3,3
462,1125,4,4
852,PV1459H,2,1
872,Y1052F,3,3
503,T6,5,1
690,TY12T,3,2
452,OH31,5,1
136,6634,2,2
683,60,2,0
738,W327X,2,0
499,7Z,1,1
731,QL02BK,2,2
267,942UE,3,1
124,YV49C,4,2
768,AL25,3,0
482,G5000PZ,2,0
150,M82Z,2,2
204,UN744,4,4
756,8,2,1
324,68F,2,0
876,DS900Y,5,0
50,DT983ZO,4,3
273,F4QP,1,1
978,WM248GS,3,2
221,UO9,4,1
877,Q309YV,2,0
397,6,4,4
172,EK187SI,4,4
607,J3IA,3,3
988,8,4,4
12,LG5Q,5,0
230,Y83KS,1,1
937,K8D,5,4
548,AD72FQ,3,2
38,VU6,2,2
748,V3Y,3,0
85,E220,5,3
911,WB425P,5,1
230,T5700US,1,0
190,QK09GC,5,4
563,E4,2,1
148,NK596W,4,0
405,6G,1,0
232,H52,1,1
510,82R,4,1
807,DE8419LM,4,0
488,2,5,2
735,X9RG,4,0
772,4NQ,2,0
306,778,3,2
396,A1951Y,2,2
535,Q435PB,2,0
831,C9I,1,0
44,R672Z,3,0
916,8500BL,5,1
413,GZ606,3,1
139,O1C,5,5
798,028E,1,0
317,OA6531V,2,0
696,QB6704JO,2,2
336,R00,5,2
951,039OY,5,5
680,MF7051WD,4,2
546,CY9NO,3,2
145,A7243,1,1
639,7766VG,1,1
706,YS280,3,1
28,1Q,5,3
45,7511Y,3,2
556,L991HF,2,2
79,6704OT,5,5
864,G9,4,3
586,VB4645CQ,5,2
39,RX4045MU,5,3
140,F14,2,1
662,W3682,4,1
46,Z86,1,1
788,PE32,3,3
317,K93,2,2
718,3712,5,2
974,OK10I,2,1
908,99WP,5,2
59,IS4,2,0
541,B2,5,1
807,298DR,5,1
556,70C,5,3
593,8654,1,0
664,C974CT,3,0
630,7243,4,4
804,9633TX,4,2
69,UX8,4,0
801,KS5,5,2
180,V807L,1,1
880,XV6,4,2
112,BJ26X,3,1
655,AK2026,1,0
482,021U,5,1
153,A822L,2,2
894,B240,5,5
244,0XM,1,0
443,G7439ZN,4,4
73,R047RO,1,1
586,TF376WI,5,5
534,I7467R,4,1
680,V49DB,1,0
828,C6L,5,3
766,G342XQ,3,3
746,JB711L,1,0
14,H59IE,1,1
883,Z110NG,4,2
255,S881F,3,1
673,8685F,3,2
773,D876R,1,0
995,J4212,5,4
744,J9,2,1
1000,R2,4,4
285,WV0683EH,2,1
542,V548V,1,1
159,17R,3,0
923,Q6983GB,2,0
